Company,Location,# Laid Off,Date,%,Industry,Source,Stage,$ Raised,Country,Date Added
Elastic,SF Bay Area,,11/30/2022,13%,Data,https://elastic.co/...,Post-IPO,$162 ,United States,12/1/2022
Codexis,SF Bay Area,,11/29/2022,18%,Healthcare,https://codexis.com/...,Post-IPO,$162 ,United States,11/30/2022
Western Digital,SF Bay Area,251,11/22/2022,7%,Hardware,https://www.bizjourn...,Post-IPO,$900 ,United States,2/13/2023
Carvana,Phoenix,1500,11/18/2022,8%,Transport,https://www.wsj.com/...,Post-IPO,"$1,600 ",United States,11/18/2022
Roku,SF Bay Area,200,11/17/2022,7%,Media,https://variety.com/2...,Post-IPO,$208 ,United States,11/17/2022
Homepoint,,113,11/17/2022,3%,Real Estate,https://www.bizjournals.com,Post-IPO,$453 ,United States,11/19/2022
Amazon,,10000,11/16/2022,5%,Retail,https://www.nytimes.com,Post-IPO,$2 ,United States,11/16/2022
Cisco,,4100,11/16/2022,10%,Infrastructure,https://www.bizjournals.com,Post-IPO,$235 ,United States,11/17/2022
Similarweb,,120,11/16/2022,22%,Other,https://en.globes.co.il,Post-IPO,$409 ,United States,11/16/2022
Pear Therapeutics,,59,11/16/2022,6%,Healthcare,https://www.fiercebiotech.com,Post-IPO,"$2,000 ",United States,12/11/2022
UiPath,,241,11/15/2022,9%,Data,https://www.marketwatch.com,Post-IPO,$453 ,United States,11/16/2022
Asana,,180,11/15/2022,11%,Other,https://www.linkedin.com,Post-IPO,$382 ,United States,11/15/2022
Rubicon Technologies,,,11/15/2022,5%,Other,https://www.sec.gov,Post-IPO,$791 ,United States,11/19/2022
Illumina,,500,11/14/2022,22%,Healthcare,https://www.genomeweb.com,Post-IPO,$347 ,United States,11/16/2022
Sema4,,500,11/14/2022,57%,Healthcare,https://www.marketwatch.com,Post-IPO,$409 ,United States,11/14/2022
Science 37,,90,11/14/2022,7%,Healthcare,https://seekingalpha.com,Post-IPO,$212 ,United States,11/14/2022
Pear Therapeutics,,59,11/14/2022,6%,Healthcare,https://www.bizjournals.com,Post-IPO,$624 ,United States,11/16/2022
Cardlytics,,51,11/14/2022,10%,Marketing,https://www.housing.com,Post-IPO,$355 ,United States,11/14/2022
Tricida,,,1/18/2023,13%,Healthcare,https://www.theinformation.com,Post-IPO,$665 ,United States,1/18/2023
Offerpad,,,11/16/2022,13%,Real Estate,https://techcrunch.com,Post-IPO,$549 ,United States,11/16/2022
Blend,,100,12/9/2022,,Finance,https://www.cnbc.com,Post-IPO,$326 ,United States,12/9/2022
Coinbase,,60,11/10/2022,,Crypto,https://www.businessinsider.com,Post-IPO,"$26,000 ",United States,11/10/2022
SoundHound,,45,11/10/2022,,Other,https://www.businessinsider.com,Post-IPO,$320 ,United States,11/10/2022
Meta,,11000,11/9/2022,,Consumer,https://www.cnbc.com,Post-IPO,,United States,11/9/2022
Redfin,,862,11/9/2022,,Real Estate,https://www.businessinsider.com,Post-IPO,,United States,11/9/2022
Root Insurance,,137,11/9/2022,20%,Finance,https://www.bizjournals.com,Post-IPO,$527 ,United States,11/9/2022
RingCentral,,,11/9/2022,10%,Other,https://www.barrons.com,Post-IPO,$30 ,United States,11/10/2022
EverBridge,,200,11/8/2022,16%,Other,https://www.bizjournals.com,Post-IPO,$476 ,United States,1/18/2023
Astra,,1000,11/8/2022,10%,Aerospace,https://www.linkedin.com,Post-IPO,$300 ,United States,11/8/2022
NanoString,,110,11/8/2022,1%,Healthcare,https://www.genomeweb.com,Post-IPO,$731 ,United States,11/16/2022
Salesforce,,3700,11/7/2022,5%,Sales,https://www.cnbc.com,Post-IPO,$65 ,United States,11/8/2022
Varonis,,700,11/6/2022,50%,Security,https://www.calcalistech.com,Post-IPO,$30 ,United States,11/6/2022
Twitter,,200,11/4/2022,13%,Consumer,https://www.nytimes.com,Post-IPO,"$12,900 ",United States,11/4/2022
Lyft,,550,11/3/2022,1%,Transport,https://www.wsj.com,Post-IPO,"$4,900 ",United States,11/3/2022
LendingTree,,200,11/3/2022,10%,Finance,https://investors.lendingtree.com,Post-IPO,"$1,500 ",United States,1/23/2023
Affirm,,140,11/3/2022,82%,Finance,https://www.theinformation.com,Post-IPO,$16 ,United States,11/3/2022
LiveRamp,,150,11/3/2022,18%,Marketing,https://www.marketwatch.com,Post-IPO,$445 ,United States,11/4/2022
Rubius,,3000,11/3/2022,7%,Healthcare,https://www.fiercebiotech.com,Post-IPO,"$1,900 ",United States,11/16/2022
Opendoor,,400,11/2/2022,8%,Real Estate,https://www.bloomberg.com,Post-IPO,$144 ,United States,11/2/2022
Oracle,,300,11/1/2022,15%,Other,https://www.businessinsider.com,Post-IPO,$108 ,United States,11/16/2022
Upstart,,,11/1/2022,5%,Retail,https://techcrunch.com,Post-IPO,$114 ,United States,11/1/2022
Amazon,,,10/28/2022,,Hardware,https://www.geekwire.com,Post-IPO,$97 ,United States,1/10/2023
Seagate,,,10/26/2022,,Fitness,https://www.cnbc.com,Post-IPO,,United States,3/31/2023
MindBody,,,10/26/2022,,Real Estate,https://www.sanluisobispo.com,Post-IPO,,United States,10/26/2022
Zillow,,,10/26/2022,,Real Estate,https://techcrunch.com,Post-IPO,,United States,10/26/2022
F5,,100,10/21/2022,1%,Security,https://www.geekwire.com,Post-IPO,$65 ,United States,11/16/2022
Volta,,,10/21/2022,54%,Transport,https://investors.volta.com,Post-IPO,$575 ,United States,10/21/2022
Starry,,,10/20/2022,50%,Other,https://investors.starry.com,Post-IPO,$260 ,United States,10/20/2022
Leafly,,56,10/18/2022,21%,Retail,https://investor.leafly.com,Post-IPO,$71 ,United States,10/19/2022
Beyond Meat,,200,10/14/2022,19%,Food,https://www.cnbc.com,Post-IPO,$122 ,United States,10/14/2022
Beyond Meat,,200,10/14/2022,19%,Food,https://www.fooddive.com,Post-IPO,$122 ,United States,11/6/2023
Salesforce,,90,10/13/2022,11%,Sales,https://www.protocol.com,Post-IPO,$65 ,United States,10/13/2022
HelloFresh,,611,10/10/2022,4%,Food,https://www.businessinsider.com,Post-IPO,$367 ,United States,10/15/2022
Momentive,,180,10/10/2022,12%,Marketing,https://www.sec.gov,Post-IPO,"$1,100 ",United States,10/13/2022
